"year","sim_id","policy_id","time","N_1_1_1_1","N_1_1_1_2","N_1_1_2_1","N_1_1_2_2","N_1_1_3_1","N_1_1_3_2","N_1_1_4_1","N_1_1_4_2","N_1_2_1_1","N_1_2_1_2","N_1_2_2_1","N_1_2_2_2","N_1_2_3_1","N_1_2_3_2","N_1_2_4_1","N_1_2_4_2","N_2_1_1_1","N_2_1_1_2","N_2_1_2_1","N_2_1_2_2","N_2_1_3_1","N_2_1_3_2","N_2_1_4_1","N_2_1_4_2","N_2_2_1_1","N_2_2_1_2","N_2_2_2_1","N_2_2_2_2","N_2_2_3_1","N_2_2_3_2","N_2_2_4_1","N_2_2_4_2","N_3_1_1_1","N_3_1_1_2","N_3_1_2_1","N_3_1_2_2","N_3_1_3_1","N_3_1_3_2","N_3_1_4_1","N_3_1_4_2","N_3_2_1_1","N_3_2_1_2","N_3_2_2_1","N_3_2_2_2","N_3_2_3_1","N_3_2_3_2","N_3_2_4_1","N_3_2_4_2","N_4_1_1_1","N_4_1_1_2","N_4_1_2_1","N_4_1_2_2","N_4_1_3_1","N_4_1_3_2","N_4_1_4_1","N_4_1_4_2","N_4_2_1_1","N_4_2_1_2","N_4_2_2_1","N_4_2_2_2","N_4_2_3_1","N_4_2_3_2","N_4_2_4_1","N_4_2_4_2","N_5_1_1_1","N_5_1_1_2","N_5_1_2_1","N_5_1_2_2","N_5_1_3_1","N_5_1_3_2","N_5_1_4_1","N_5_1_4_2","N_5_2_1_1","N_5_2_1_2","N_5_2_2_1","N_5_2_2_2","N_5_2_3_1","N_5_2_3_2","N_5_2_4_1","N_5_2_4_2","N_6_1_1_1","N_6_1_1_2","N_6_1_2_1","N_6_1_2_2","N_6_1_3_1","N_6_1_3_2","N_6_1_4_1","N_6_1_4_2","N_6_2_1_1","N_6_2_1_2","N_6_2_2_1","N_6_2_2_2","N_6_2_3_1","N_6_2_3_2","N_6_2_4_1","N_6_2_4_2","N_7_1_1_1","N_7_1_1_2","N_7_1_2_1","N_7_1_2_2","N_7_1_3_1","N_7_1_3_2","N_7_1_4_1","N_7_1_4_2","N_7_2_1_1","N_7_2_1_2","N_7_2_2_1","N_7_2_2_2","N_7_2_3_1","N_7_2_3_2","N_7_2_4_1","N_7_2_4_2","N_8_1_1_1","N_8_1_1_2","N_8_1_2_1","N_8_1_2_2","N_8_1_3_1","N_8_1_3_2","N_8_1_4_1","N_8_1_4_2","N_8_2_1_1","N_8_2_1_2","N_8_2_2_1","N_8_2_2_2","N_8_2_3_1","N_8_2_3_2","N_8_2_4_1","N_8_2_4_2","TB_mort_HIV_neg_male","TB_mort_HIV_neg_female","TB_mort_HIV_pos_male","TB_mort_HIV_pos_female","HIV_mort_TB_neg_male","HIV_mort_TB_neg_female","TB_incidence_HIV_neg_male","TB_incidence_HIV_neg_female","TB_incidence_HIV_pos_male","TB_incidence_HIV_pos_female"
1990,539,1,0,10745.9228984945,11513.4550092421,354.651322152615,691.037035938704,82.7863612229437,139.689781614891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1975.70621531228,2189.33120090274,49.5553199801685,101.861854443703,9.11576753051038,16.311729058557,0,0,75.9097922809486,84.1176058498469,1.90399464098257,3.91369534207378,0.350242366177448,0.626722715645494,0,0,30136.4750912947,33626.5069297064,928.232188822572,1936.01038787562,208.167179582696,377.020424514155,0,0,1157.61651819461,1291.99403525074,35.6558678182382,74.3851820448343,7.99625803551316,14.4858387531235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180.670917104969,212.006946283374,19.2690467608102,41.7527608937874,7.20062178688777,13.8416572025292,0,0,6.94128104879211,8.14566685252809,0.740300379769021,1.60421152989057,0.276639455987543,0.531819940164965,0,0,651.215850761334,772.82243361337,42.973091060842,97.2291348246749,16.6121015328767,33.3539684469183,0,0,25.0190523403158,29.6935898159867,1.65098409529573,3.73573352914822,0.638218615739352,1.28152114144801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990,539,1,0.0833333333333333,10726.1465021583,11478.7970709633,349.639933846687,678.386975039062,80.2315749800364,135.141156903692,0,0,0,0,0,0,0,0,0,0,0,0,18.7457837658905,39.1335678979101,4.42714889271918,8.00496667199591,0,0,0,0,0,0,0,0,0,0,1977.61060389574,2188.84431706537,49.1925103688843,100.555179496282,8.8577679493129,15.8167481723174,0,0,75.9829619357648,84.0988989942054,1.99592925483356,4.09649995650837,0.359846075465976,0.645083720962659,0,0,30088.3543564822,33533.5323941635,914.722119151342,1897.35012182089,201.592120325429,364.200535039686,0,0,1155.76932818368,1288.4217342846,37.1836758042033,77.4723378352514,8.2086057600636,14.8953906451314,0,0,0,0,51.5943740143753,115.137652880891,11.5848975763918,22.4608775521654,0,0,0,0,0,0,0,0,0,0,180.637430332049,211.715720772642,19.9366342687041,43.2139890253766,7.43486544373118,14.3237096390341,0,0,6.93999673256342,8.13447729099363,0.763256542652873,1.65427643767166,0.28437782005403,0.547873099324987,0,0,649.515864126317,769.871976568252,44.4412341926334,100.550352395768,17.1053039245972,34.4263821565951,0,0,24.9537454679536,29.5802199297066,1.70731308333708,3.86316974340589,0.657131385533727,1.3226555768901,0,0,0,0,4.41381037372091,9.86728122861674,1.0017348234429,1.94366809337173,0,0,0,0,0,0,0,0,0,0,1.78927088351998,1.20280397047926,0.506649524483921,0.593823194040289,12.9589870994122,14.2845715864977,11.1582085018322,12.3774221939204,3.39379445866497,6.77771900545873
1990,539,1,0.166666666666667,10706.5357317881,11444.4481624143,347.696187616817,672.269538256973,78.4922793360095,132.038970392669,0,0,0,0,0,0,0,0,0,0,0,0,34.1661538833163,71.32397976657,8.15064168645932,14.7416164812669,0,0,0,0,0,0,0,0,0,0,1979.76477320729,2188.63517179338,48.9036344893787,99.4525538504611,8.63699973020663,15.3904165258368,0,0,76.0657285655962,84.0908632983968,2.08099432875149,4.26547532838593,0.369172722104438,0.662740205199576,0,0,30040.5037542652,33441.0752630615,902.122909455075,1861.2368682306,195.391041264406,352.034047358679,0,0,1153.93250940159,1284.86931323598,38.6820440639436,80.5092991994597,8.43233348731132,15.3237560839021,0,0,0,0,93.6059813197619,208.709310882172,21.2024414227789,41.0866052047271,0,0,0,0,0,0,0,0,0,0,180.613118438702,211.436188694842,20.7591630025028,45.0147085779486,7.73139780873355,14.9285187622308,0,0,6.93906491902075,8.12373701214791,0.78764449479811,1.70712740920432,0.292321614339766,0.564328045319063,0,0,647.800186575541,766.908900244581,45.9200806217909,103.90409384979,17.6178771086923,35.5398026678686,0,0,24.8878358006911,29.4663653072112,1.76363990776384,3.99091802373479,0.676590260463399,1.36497556251881,0,0,0,0,16.4231678426895,36.7537314015762,3.80300979057434,7.38224265014162,0,0,0,0,0,0,0,0,0,0,3.57825515704281,2.40398751716169,1.03206529625036,1.21044252684615,26.3479214794462,29.0550280503417,22.3210035238945,24.7452700246808,7.11254623045362,14.2326969874281
1990,539,1,0.25,10687.0516844919,11410.3658335649,348.113305341936,671.202216235327,77.4298304138269,130.135028030683,0,0,0,0,0,0,0,0,0,0,0,0,46.9625140751531,98.0386361179111,11.3013475114046,20.4477806856702,0,0,0,0,0,0,0,0,0,0,1982.26715535987,2188.81145751465,48.7034675451478,98.5808712014069,8.45461371302652,15.0353778292065,0,0,76.1618740896309,84.0976364777188,2.16073893123435,4.42387302441271,0.378443884062106,0.680146148095766,0,0,29992.8729327654,33349.078227689,890.368457003635,1827.48780169331,189.544649800648,340.493156902319,0,0,1152.10412784688,1281.33457019009,40.1511986066919,83.4961385912341,8.6668276313995,15.7701716293832,0,0,0,0,127.733690251182,284.494845519684,29.140814695132,56.4328257803713,0,0,0,0,0,0,0,0,0,0,180.598649446339,211.16903884797,21.698974110749,47.0744932007369,8.07868141987207,15.6341450974784,0,0,6.93851127479608,8.11347248066982,0.81310851774828,1.76208423957135,0.300464564905562,0.581158782595451,0,0,646.059966476464,763.922814946955,47.4194572908863,107.311861343028,18.1535935030086,36.701955529756,0,0,24.8209832670818,29.3516267513031,1.82003055309,4.11908879268776,0.696580287766037,1.40845770544671,0,0,0,0,34.4316896834201,77.1325796792929,8.12766125223346,15.7846021706188,0,0,0,0,0,0,0,0,0,0,5.36704671515649,3.60361880167428,1.57983627438566,1.85413898966952,40.1686482067438,44.3127190431926,33.4897120178241,37.1050339822689,11.1266138005756,22.3010388643061
1990,539,1,0.333333333333333,10667.6645530896,11376.5175388748,350.337742921811,674.022908796101,76.9291553264022,129.224283541798,0,0,0,0,0,0,0,0,0,0,0,0,57.6852570156663,120.429189044857,13.9871323862396,25.3189753222183,0,0,0,0,0,0,0,0,0,0,1985.18627429933,2189.44742492278,48.6002190967435,97.9534989164423,8.31079564423745,14.7523765976228,0,0,76.27403130745,84.1220713625585,2.23640839505935,4.57430669703437,0.387836238064845,0.697667583033477,0,0,29945.4293206896,33257.5039854499,879.398432017156,1795.93532944517,184.034661997537,329.551058470709,0,0,1150.28293253634,1277.81607190417,41.5914258313965,86.4330642039291,8.91150239185165,16.23390796976,0,0,0,0,155.381460237435,345.629478960325,35.6507949408686,68.9835433851156,0,0,0,0,0,0,0,0,0,0,180.594965617485,210.915263320366,22.7264366416047,49.3297823981793,8.46736483400293,16.4227179704991,0,0,6.93837200334608,8.10372181413441,0.839373451705257,1.81862430586982,0.30880886004031,0.598360577534642,0,0,644.288785889555,760.906249945362,48.9462172077788,110.788869597704,18.7153626034787,37.918936456363,0,0,24.7529412956588,29.2357172182373,1.87652624462388,4.24774725660541,0.717088743186754,1.4530811914484,0,0,0,0,57.1315220423872,128.105120228689,13.7358114198203,26.6896130532525,0,0,0,0,0,0,0,0,0,0,7.15574754115428,4.80177082979895,2.1527836074059,2.52829898102749,54.4230301581049,60.0591863476083,44.6660157977221,49.4585909827467,15.4121318338902,30.9312202286294
1990,539,1,0.416666666666667,10648.3516315779,11342.8784529466,353.936097178348,679.820822530789,76.8949031468547,129.137574471169,0,0,0,0,0,0,0,0,0,0,0,0,66.7663385764601,139.399575871128,16.2966281909937,29.5155267244468,0,0,0,0,0,0,0,0,0,0,1988.56764518435,2190.59166646828,48.5973582823958,97.5741273789502,8.2050342281059,14.5407833228436,0,0,76.4039489842371,84.1660349525723,2.30900448579382,4.71887824102107,0.39749006168948,0.715599011139303,0,0,29898.1538732219,33166.3304124797,869.157537848739,1766.4252999578,178.843715008189,319.181860669528,0,0,1148.4681920863,1274.31296833061,43.0030600324636,89.3203936833358,9.16579745825286,16.7142661267878,0,0,0,0,177.709055269463,394.712396495616,40.9498281005301,79.1590686650198,0,0,0,0,0,0,0,0,0,0,180.603162945138,210.676023774968,23.8183081419714,51.7304959800635,8.88990525862986,17.2797497496659,0,0,6.93868921472409,8.09452964544223,0.866227885678905,1.87634949260911,0.317362587622436,0.615944271849605,0,0,642.482150716691,757.854034439388,50.5049034988016,114.345416234414,19.3053867772815,39.1954975127147,0,0,24.6835372270353,29.1184380328785,1.93314962310768,4.37692501988765,0.738105125573543,1.49882836065392,0,0,0,0,83.4529456495084,187.292982142941,20.4198667206647,39.6982367197879,0,0,0,0,0,0,0,0,0,0,8.94446979822223,5.99852277576501,2.75311745777005,3.23559432927071,69.1128911308742,76.2960899736925,55.8518389569323,61.8080786507857,19.9499183126781,40.0817750500525
1990,539,1,0.5,10629.0957317378,11309.4297393268,358.569177120819,687.882311391581,77.2481634360068,129.73549419596,0,0,0,0,0,0,0,0,0,0,0,0,74.5448133014409,155.659368915151,18.3024504158299,33.1685909098752,0,0,0,0,0,0,0,0,0,0,1992.43922038447,2192.27324882044,48.6949769103629,97.4396351190434,8.13632538723812,14.3989939488813,0,0,76.5527010947299,84.230644035677,2.37933270843674,4.85927693727494,0.407516005816316,0.734176487619111,0,0,29851.0377250625,33075.5467728319,859.594909194367,1738.81552572368,173.955296528047,309.360526597656,0,0,1146.65956614142,1270.82484696686,44.3864731296755,92.1585325191808,9.42917607485631,17.2105743252476,0,0,0,0,195.674071121689,433.897158836131,45.2258334791035,87.3233511233904,0,0,0,0,0,0,0,0,0,0,180.624402638283,210.452553342304,24.9564221062568,54.237312183229,9.34024968907947,18.193555679723,0,0,6.9395075246998,8.08594335339235,0.893510749408344,1.93495980763961,0.326137750577345,0.633931797543309,0,0,640.637082390351,754.762802981767,52.0982746663206,117.987971124899,19.9252910723383,40.535286493544,0,0,24.6126566270675,28.9996598858938,1.98990955206353,4.50662909796207,0.759621073669619,1.54568502661462,0,0,0,0,112.522698769906,252.748659970761,28.0007891653827,54.4662672325125,0,0,0,0,0,0,0,0,0,0,10.733336889805,7.1939606512443,3.38256367229168,3.9781282391691,84.2399714636594,93.025148795044,67.0492615982951,74.1557992594737,24.7245846604221,49.719410153778
1990,539,1,0.583333333333333,10609.8839293315,11276.1571819851,363.971684265793,697.648419846291,77.9236865526182,130.903246322504,0,0,0,0,0,0,0,0,0,0,0,0,81.2868530044178,169.765612670437,20.0639264112141,36.3852128791771,0,0,0,0,0,0,0,0,0,0,1996.81567390011,2194.50652793187,48.8908094155035,97.5422246803431,8.10332821015706,14.3247343808729,0,0,76.7208514374907,84.3164501905294,2.44803986726866,4.99685816185475,0.41800054890242,0.753588173664393,0,0,29804.0795674864,32985.1507536472,850.663617519602,1712.97455145187,169.353687143621,300.06283326185,0,0,1144.8570046164,1267.35161894124,45.7420662060721,94.9479562286559,9.70112339133389,17.7221853910861,0,0,0,0,210.066759419095,464.966951606112,48.6407085133697,93.7906766500021,0,0,0,0,0,0,0,0,0,0,180.659847389677,210.246086065859,26.1266376582326,56.8194801584511,9.81356646961332,19.1547642288071,0,0,6.94087160605628,8.07801035186145,0.921100605532169,1.99423230641741,0.335148737881392,0.65235264814831,0,0,638.751791245976,751.630600824276,53.7277193899697,121.720041177546,20.5762309017496,41.9410464686489,0,0,24.5402307381812,28.8793076702094,2.04680484753308,4.63684888137029,0.781630227961994,1.59364059866663,0,0,0,0,143.629511119541,322.881215726805,36.3246678401579,70.6977124733794,0,0,0,0,0,0,0,0,0,0,12.5224837693025,8.38817749768416,4.04246581859036,4.75755335147575,99.8058938969396,110.24809313815,78.2604543032991,86.5041470000906,29.7238107678587,59.8174665205361
1990,539,1,0.666666666666667,10590.7065721411,11243.050104418,369.936243593441,708.681506017261,78.867540630785,132.54633824322,0,0,0,0,0,0,0,0,0,0,0,0,87.2014825060238,182.155720529201,21.6293962736688,39.2525635186349,0,0,0,0,0,0,0,0,0,0,2001.70176637038,2197.29492319604,49.1809988575186,97.8710200211777,8.10448432201374,14.3152933124362,0,0,76.9085829238874,84.4235847956951,2.51564420522814,5.13270656221434,0.429010439913841,0.773982945668027,0,0,29757.2835974473,32895.146151792,842.320259525785,1688.78061369242,165.023912355356,291.265343930897,0,0,1143.06066891245,1263.89343012935,47.0702625194615,97.6891956230291,9.9811450423358,18.2484745723446,0,0,0,0,221.538917675141,489.39728294967,51.3335200816119,98.8317322828986,0,0,0,0,0,0,0,0,0,0,180.710616519733,210.057807311813,27.3179981069867,59.4530598056022,10.3060200117854,20.155904630148,0,0,6.94282446513976,8.0707761844675,0.948907077892925,2.05400421607967,0.344411153769278,0.67124111027037,0,0,636.825415126703,748.456568886292,55.393584159549,125.542857053897,21.2589810502081,43.4147816576973,0,0,24.4662264368429,28.7573483767638,2.10382716564709,4.7675614997208,0.804128056038546,1.64268805696487,0,0,0,0,176.195565431746,396.39450979801,45.2596012316347,88.1388110631206,0,0,0,0,0,0,0,0,0,0,14.3120567233175,9.58127324480677,4.73386726853337,5.57516715951339,115.812137734283,127.96662712013,89.4876287375933,98.8555533669193,34.9377533871379,70.3546612484316
1990,539,1,0.75,10571.5565006582,11210.1005219414,376.300908784628,720.639117649337,80.0351466849001,134.586993044505,0,0,0,0,0,0,0,0,0,0,0,0,92.4528935224291,193.17322650009,23.0381429495653,41.8414713129906,0,0,0,0,0,0,0,0,0,0,2007.0949661033,2200.63385075531,49.5606665494019,98.4132484759775,8.13810856387423,14.3676989191108,0,0,77.1157982822653,84.5518717320325,2.58255963636159,5.26768688368715,0.440596333118265,0.795477452000678,0,0,29710.6579287165,32805.5410857888,834.524612272447,1666.12075522812,160.951702070777,282.945389578998,0,0,1141.27087088254,1260.45059245311,48.3715017521566,100.382824659939,10.2687659161358,18.7888377092238,0,0,0,0,230.627804617404,508.408115514312,53.4233868204708,102.679062247194,0,0,0,0,0,0,0,0,0,0,180.777755819825,209.88882048896,28.5220598852419,62.1195114444537,10.8145827177672,21.191060938421,0,0,6.94540628318656,8.06428324589602,0.976864019715182,2.11415948194366,0.353940936369072,0.690634116173172,0,0,634.857811266828,745.240693615306,57.0954304258529,129.45591530596,21.9740087882971,44.95789455946,0,0,24.3906382379348,28.6337814835679,2.16096321469395,4.89873590322014,0.827111654365975,1.69282381589242,0,0,0,0,209.752920812183,472.235959951307,54.6928847233055,106.572657901313,0,0,0,0,0,0,0,0,0,0,16.1022127808789,10.7733543322362,5.45757682146812,6.43198869320319,132.260019843311,146.182399076084,100.733001092072,111.212446923317,40.3585648680113,81.3140619062939
