"","year","sim_id","time","N_1_1_1_1","N_1_1_1_2","N_1_1_2_1","N_1_1_2_2","N_1_1_3_1","N_1_1_3_2","N_1_1_4_1","N_1_1_4_2","N_1_2_1_1","N_1_2_1_2","N_1_2_2_1","N_1_2_2_2","N_1_2_3_1","N_1_2_3_2","N_1_2_4_1","N_1_2_4_2","N_2_1_1_1","N_2_1_1_2","N_2_1_2_1","N_2_1_2_2","N_2_1_3_1","N_2_1_3_2","N_2_1_4_1","N_2_1_4_2","N_2_2_1_1","N_2_2_1_2","N_2_2_2_1","N_2_2_2_2","N_2_2_3_1","N_2_2_3_2","N_2_2_4_1","N_2_2_4_2","N_3_1_1_1","N_3_1_1_2","N_3_1_2_1","N_3_1_2_2","N_3_1_3_1","N_3_1_3_2","N_3_1_4_1","N_3_1_4_2","N_3_2_1_1","N_3_2_1_2","N_3_2_2_1","N_3_2_2_2","N_3_2_3_1","N_3_2_3_2","N_3_2_4_1","N_3_2_4_2","N_4_1_1_1","N_4_1_1_2","N_4_1_2_1","N_4_1_2_2","N_4_1_3_1","N_4_1_3_2","N_4_1_4_1","N_4_1_4_2","N_4_2_1_1","N_4_2_1_2","N_4_2_2_1","N_4_2_2_2","N_4_2_3_1","N_4_2_3_2","N_4_2_4_1","N_4_2_4_2","N_5_1_1_1","N_5_1_1_2","N_5_1_2_1","N_5_1_2_2","N_5_1_3_1","N_5_1_3_2","N_5_1_4_1","N_5_1_4_2","N_5_2_1_1","N_5_2_1_2","N_5_2_2_1","N_5_2_2_2","N_5_2_3_1","N_5_2_3_2","N_5_2_4_1","N_5_2_4_2","N_6_1_1_1","N_6_1_1_2","N_6_1_2_1","N_6_1_2_2","N_6_1_3_1","N_6_1_3_2","N_6_1_4_1","N_6_1_4_2","N_6_2_1_1","N_6_2_1_2","N_6_2_2_1","N_6_2_2_2","N_6_2_3_1","N_6_2_3_2","N_6_2_4_1","N_6_2_4_2","N_7_1_1_1","N_7_1_1_2","N_7_1_2_1","N_7_1_2_2","N_7_1_3_1","N_7_1_3_2","N_7_1_4_1","N_7_1_4_2","N_7_2_1_1","N_7_2_1_2","N_7_2_2_1","N_7_2_2_2","N_7_2_3_1","N_7_2_3_2","N_7_2_4_1","N_7_2_4_2","N_8_1_1_1","N_8_1_1_2","N_8_1_2_1","N_8_1_2_2","N_8_1_3_1","N_8_1_3_2","N_8_1_4_1","N_8_1_4_2","N_8_2_1_1","N_8_2_1_2","N_8_2_2_1","N_8_2_2_2","N_8_2_3_1","N_8_2_3_2","N_8_2_4_1","N_8_2_4_2","HIV_neg_male","HIV_neg_female","HIV_pos_male","HIV_pos_female"
"1",1990,683,0,10402.1653200832,10487.3479266232,456.15613818859,864.049860980351,188.839087108599,268.4679440085,0,0,0,0,0,0,0,0,0,0,0,0,0.698855838377374,1.34246973431098,0.337293645927683,0.480272111479,0,0,0,0,0,0,0,0,0,0,1681.12526284047,1704.088908198,50.1813671057186,94.5408307273742,15.6436176833761,22.2258262583135,0,0,64.5915210021778,65.47382097957,1.93336781626991,3.64267867098176,0.60285541995094,0.856525170952045,0,0,31792.8584481969,32291.2225604397,1138.55219928734,2144.56904040543,410.959825467667,581.914018233033,0,0,1221.43196503107,1240.6825539224,44.0767965732607,83.068239442057,16.0196291443257,22.6921068531133,0,0,0,0,1.73755253774398,3.31625271960546,0.716496707087596,1.01629337759611,0,0,0,0,0,0,0,0,0,0,188.218416448425,190.778281885505,23.4404271103911,44.8723970357786,15.8185383846735,22.4857616456668,0,0,7.23148421727944,7.33001047804657,0.895674145047308,1.71408524055647,0.601003207085506,0.854172835994713,0,0,854.543424428281,868.54823964377,62.1027027569477,121.370724854556,45.1405580055954,64.6708217333627,0,0,32.8318475147141,33.3710497128488,2.37842015638386,4.64724416361589,1.7215120269003,2.4661223996718,0,0,0,0,6.81454890247097,13.7518167159672,4.80807489693497,6.96691091915842,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",1990,683,0.0833333333333333,10387.1703631476,10461.287984078,470.228868305027,890.230193593613,191.937473231056,273.527067412004,0,0,0,0,0,0,0,0,0,0,0,0,0.70963308566444,1.36444770485728,0.342830797423626,0.489339557515881,0,0,0,0,0,0,0,0,0,0,1682.2430664713,1703.4096436332,52.338611207492,98.521921583909,16.0206752233645,22.8161289592811,0,0,64.6344688052314,65.4477225487312,2.01636793883744,3.79587250136439,0.617384739730874,0.879272124566735,0,0,31729.7144902861,32193.054960323,1181.00295946726,2223.38736454319,419.831424254421,595.880544567109,0,0,1219.00645327969,1236.91078315131,45.7153479322114,86.1128800619634,16.3666295223945,23.2385160343469,0,0,0,0,1.77268744828356,3.38657599468215,0.731988059630714,1.04074959682213,0,0,0,0,0,0,0,0,0,0,186.876905447382,189.824870975419,23.9322391567422,45.9396518132973,15.8598566958541,22.8007302259508,0,0,7.17994343310851,7.29337886258696,0.914479652811875,1.7548693664879,0.602547944263656,0.86609985081721,0,0,851.750201526919,864.798765248039,63.9501934861492,125.024213672628,46.2901778032132,66.4927498639937,0,0,32.7245347622611,33.2269885059689,2.44919305571023,4.7871467281363,1.7652755307848,2.53547892126534,0,0,0,0,6.97319285513933,14.0934329837524,4.93706590643256,7.17212455245493,0,0,0,0,0,0,0,0,0,0,1.57831445438164,0.918007805171294,0.668049686226058,0.605267392318243
"3",1990,683,0.166666666666667,10372.4028161144,10435.5588201098,484.028224744054,915.971060177022,195.15527702013,278.758670977995,0,0,0,0,0,0,0,0,0,0,0,0,0.722437239956588,1.38996899267447,0.348471212375004,0.498574098694004,0,0,0,0,0,0,0,0,0,0,1683.06687599468,1702.43636777077,54.4194995916409,102.374720633473,16.4098993288996,23.424190321602,0,0,64.6661208845304,65.410327733664,2.0964478797182,3.94416130015502,0.632382572905418,0.902703072642734,0,0,31667.1111708467,32095.6579929058,1222.68432662985,2300.98423286779,429.079756864343,610.394459800923,0,0,1216.60171021541,1233.16862142356,47.3246943960427,89.1112748590845,16.7282319229192,23.8061831655895,0,0,0,0,1.81391326010621,3.46763093682009,0.747852804747693,1.06579632476293,0,0,0,0,0,0,0,0,0,0,185.621688928423,188.91978135334,24.4686452741466,47.0821769871612,15.9368542890831,23.1489158999287,0,0,7.13171812786191,7.25860382960877,0.934994328276867,1.7985383869707,0.605448917834106,0.879289004395267,0,0,848.938021417505,861.069356543566,65.7871234648068,128.67640315216,47.4437447223378,68.34292840056,0,0,32.6164936381216,33.0836982597163,2.51955802803313,4.92699125155542,1.80919162252287,2.60591220131562,0,0,0,0,7.13512217255801,14.4423464877067,5.06863770916062,7.38194860476186,0,0,0,0,0,0,0,0,0,0,3.14570733207368,1.83153468727821,1.34232515863668,1.22160917545151
"4",1990,683,0.25,10357.8458905305,10410.1424595428,497.559242677222,941.279109079107,198.488108250982,284.157492631959,0,0,0,0,0,0,0,0,0,0,0,0,0.736856404063623,1.41833493494914,0.354248624531052,0.50801994499865,0,0,0,0,0,0,0,0,0,0,1683.659018986,1701.23333547873,56.4302395055075,106.109924994374,16.8109534633956,24.0498834743143,0,0,64.6888719651939,65.3641053091515,2.17384418646561,4.08795276470351,0.647836141096364,0.926813339613444,0,0,31605.0077998721,31998.9884467831,1263.60692494911,2377.37215858643,438.692893878293,625.441806400835,0,0,1214.21617257003,1229.45440848532,48.9052294808981,92.0638817729012,17.103984578877,24.3945816835377,0,0,0,0,1.85996106295745,3.55725295251973,0.764186829348131,1.09156033721982,0,0,0,0,0,0,0,0,0,0,184.446125173082,188.058994785531,25.0426042486228,48.2884746192825,16.0473152115016,23.5294067111247,0,0,7.08655312188417,7.22553099207375,0.956947333916357,1.84464982546073,0.609622125642577,0.893705894558558,0,0,846.106520976876,857.356920339087,67.6167460466585,132.332390329607,48.6036782210069,70.2232405561206,0,0,32.5077101922537,32.9410601284996,2.58963981510431,5.06697323044383,1.85335213620728,2.67749363778781,0,0,0,0,7.30116608081971,14.800024563904,5.20286147290566,7.59649977651909,0,0,0,0,0,0,0,0,0,0,4.70287635329047,2.74080383428345,2.02419096108691,1.84991972638255
"5",1990,683,0.333333333333333,10343.4845478879,10385.0227603323,510.826788295123,966.160761043245,201.931694335566,289.71838981861,0,0,0,0,0,0,0,0,0,0,0,0,0.752548987527974,1.44896334744908,0.360186391127557,0.517708033205286,0,0,0,0,0,0,0,0,0,0,1684.07361458371,1699.85620471455,58.3766320731221,109.737546682271,17.2235551461924,24.6931135063354,0,0,64.7048013910666,65.3111937429265,2.24877803197368,4.22762864914878,0.663734704761813,0.951599432155766,0,0,31543.3692420369,31903.0089164458,1303.78137871472,2452.56380018989,448.659139622776,641.008847016996,0,0,1211.84849048432,1225.76670715478,50.4573470128287,94.9711646595097,17.4934443601273,25.0031930850173,0,0,0,0,1.90978422922921,3.65364816639415,0.781055020725623,1.11812862081324,0,0,0,0,0,0,0,0,0,0,183.344236818203,187.238983518632,25.647958383948,49.5484466665807,16.1891621892439,23.9412736505106,0,0,7.04421876074564,7.19402480798808,0.980101885761223,1.89281518752672,0.614988742889153,0.909315359715609,0,0,843.25557622831,853.658810938315,69.4416923935889,135.996271519409,49.7722172822465,72.1355118012409,0,0,32.3981796624916,32.7989724602302,2.6595392377451,5.20724966663497,1.8978420759707,2.75029246953893,0,0,0,0,7.47194609679084,15.1675834778839,5.3398287737995,7.81592199263179,0,0,0,0,0,0,0,0,0,0,6.25046619862265,3.64602024353801,2.71489142436086,2.49102401146599
"6",1990,683,0.416666666666667,10329.3053059073,10360.1852097592,523.835574393121,990.622234367333,205.481876195807,295.436335049209,0,0,0,0,0,0,0,0,0,0,0,0,0.769232018951366,1.48136956510862,0.366299834841268,0.527658969281072,0,0,0,0,0,0,0,0,0,0,1684.35754242963,1698.35306334245,60.2640774519272,113.266919291883,17.6474707659498,25.3538165677367,0,0,64.7157103529555,65.2534406476331,2.32145539022489,4.36354498535596,0.680069370638154,0.977059012390222,0,0,31482.1652462395,31807.6870940714,1343.21830327444,2526.57194821764,458.967036903354,657.082070781924,0,0,1209.49750174914,1222.10427611166,51.9814407907743,97.833592806032,17.896176958172,25.6315071681632,0,0,0,0,1.96252053388124,3.7553315146373,0.798498594022224,1.14555761808731,0,0,0,0,0,0,0,0,0,0,182.310640147168,186.456649084209,26.2793374233322,50.8532492674686,16.3604548078352,24.3835853059108,0,0,7.00450819851787,7.16396622917555,1.00425153862105,1.94269432311702,0.621475072854702,0.926082058069692,0,0,840.385266993332,849.972779235913,71.2640560756167,139.671273680093,50.9514265988346,74.0814996537762,0,0,32.2879051164921,32.657348840504,2.72933645501405,5.34794413084511,1.94273984051995,2.82437537548505,0,0,0,0,7.64791355322054,15.545849914125,5.47964461489964,8.04037746294887,0,0,0,0,0,0,0,0,0,0,7.78907342304375,4.54737282749866,3.41556126195527,3.14568359052386
"7",1990,683,0.5,10315.2960267147,10335.6167018713,536.590179040824,1014.66957322504,209.13459999623,301.306406870412,0,0,0,0,0,0,0,0,0,0,0,0,0.786669939795746,1.51514814745431,0.372598312618642,0.537885640981136,0,0,0,0,0,0,0,0,0,0,1684.55147621341,1696.76551965589,62.0975959690478,116.706732134934,18.0825096119692,26.0319579749272,0,0,64.7231615990613,65.1924446804443,2.39206782271558,4.49603335300822,0.696832868886305,1.00319083262035,0,0,31421.3697349351,31712.9950209959,1381.92830090984,2599.40951382485,469.605359552195,673.648186462795,0,0,1207.1622045018,1218.46604113745,53.4779044229677,100.651640491563,18.3117566134818,26.2790217824884,0,0,0,0,2.01745610026028,3.86106745825533,0.816541477659844,1.17388132429797,0,0,0,0,0,0,0,0,0,0,181.340467145305,185.709258026684,26.9320526881966,52.1951297692405,16.5593828175611,24.8554194934189,0,0,6.96723440304616,7.13525023184112,1.02921609808591,1.99398912950241,0.629012310455784,0.943970930254586,0,0,837.495841514339,846.296918025705,73.0854798339842,143.359890355535,52.1432077867268,76.0628879240602,0,0,32.1768960925589,32.5161159912516,2.79909430468605,5.48915199941465,1.98811764036245,2.89980624486923,0,0,0,0,7.82938478861467,15.9354190938593,5.62242165261953,8.27003924026491,0,0,0,0,0,0,0,0,0,0,9.31925216269639,5.4450366950413,4.12723818467898,3.81460387991911
"8",1990,683,0.583333333333333,10301.4457913616,10311.3054054821,549.095055428654,1038.30866336869,212.885913923183,307.323786199485,0,0,0,0,0,0,0,0,0,0,0,0,0.804668087483209,1.54996221177439,0.379086379581772,0.548394694634864,0,0,0,0,0,0,0,0,0,0,1684.69050185985,1695.12935614004,63.8818370986656,120.065043911982,18.5285197431204,26.7275303049023,0,0,64.7285031867229,65.1295806616629,2.46079280808578,4.62540138024462,0.714019398400127,1.02999466684313,0,0,31360.9603776091,31618.9086375138,1419.92195586031,2671.08952067632,480.563113082616,690.694123603099,0,0,1204.84174083905,1214.85107781805,54.9471311400403,103.425786685818,18.7397661431125,26.9452428730666,0,0,0,0,2.07400450463676,3.9698355239598,0.835193854388371,1.20311580100091,0,0,0,0,0,0,0,0,0,0,180.429320333573,184.994403689891,27.6020338774264,53.5673297084015,16.7842632252364,25.3558714555329,0,0,6.93222842060172,7.1077843483495,1.05483918073422,2.04643980379273,0.637536442364568,0.962947523190833,0,0,834.587693857318,842.629628868257,74.9072089898375,147.063965423824,53.3493049614742,78.0812817735892,0,0,32.0651677314688,32.3752124977352,2.8688603594544,5.63094368038749,2.03404170428775,2.97664598255385,0,0,0,0,8.01656173397969,16.3366888266402,5.76827687403204,8.50508689967406,0,0,0,0,0,0,0,0,0,0,10.8415173354187,6.33917447402561,4.85087026774924,4.49843841209756
"9",1990,683,0.666666666666667,10287.7447504163,10287.2406075445,561.354543463058,1061.54524971166,216.731962992917,313.483750671927,0,0,0,0,0,0,0,0,0,0,0,0,0.82306539394388,1.58553145046349,0.385765043440317,0.559188128518554,0,0,0,0,0,0,0,0,0,0,1684.8048453181,1693.47529594525,65.6210989614189,123.349314493483,18.9853833320472,27.440551312057,0,0,64.7328964452438,65.0660290238571,2.52779447250413,4.7519339341599,0.731624452308768,1.05747123588304,0,0,31300.9180907662,31525.4072571674,1457.20982782517,2741.62509135452,491.829530883063,708.207029433447,0,0,1202.5353776067,1211.25859134507,56.389513543645,106.156514530181,19.1797968033221,27.6296843695823,0,0,0,0,2.13168343244149,4.08079171473767,0.854455967933001,1.23326403138887,0,0,0,0,0,0,0,0,0,0,179.573218215356,184.309961619432,28.2857530310097,54.9639669624131,17.0335344847362,25.8840613474426,0,0,6.89933727988096,7.08148695371196,1.0809852801792,2.09982029324323,0.646988037711485,0.982978287963856,0,0,831.661338684654,838.969583208137,76.7301524743746,150.784789382754,54.5713135391306,80.1382043743483,0,0,31.952739807258,32.2345873146089,2.93866927591023,5.77336832149515,2.08057260841106,3.05495237515561,0,0,0,0,8.20955468831724,16.7498973419625,5.91732819473769,8.74570209740069,0,0,0,0,0,0,0,0,0,0,12.356348628373,7.22993787773939,5.58732518136995,5.19779418258935
"10",1990,683,0.75,10274.1839956069,10263.412578665,573.372879085999,1084.38495042233,220.66898481109,319.781670079525,0,0,0,0,0,0,0,0,0,0,0,0,0.841728560187522,1.62162252361928,0.392632694902029,0.570264481911932,0,0,0,0,0,0,0,0,0,0,1684.92049575537,1691.82965871803,67.3193475444966,126.566436320044,19.453012286785,28.171061485681,0,0,64.7373399199883,65.0028010099347,2.5932243115677,4.87589430022654,0.749644653352092,1.08562211783955,0,0,31241.2266103977,31432.4731176208,1493.80244491834,2811.02943320222,503.394071233226,726.174266728866,0,0,1200.242489974,1207.68789925968,57.8054433344895,108.844310797246,19.6314481828972,28.3318681107815,0,0,0,0,2.19009616586081,4.19323775451312,0.874320896088467,1.2643194801012,0,0,0,0,0,0,0,0,0,0,178.768548656405,183.654051882189,28.9801586125118,56.3799330050017,17.3057505865132,26.4391399708661,0,0,6.86842220080688,7.05628581784143,1.10753722510692,2.15393433118041,0.657312032410222,1.00403080831225,0,0,828.717389526741,835.315688628918,78.5549348412974,154.523181925756,55.8106887027309,82.235094931888,0,0,31.8396358924284,32.0941984693798,3.00854479585154,5.91645698928077,2.12776559397098,3.13478001072629,0,0,0,0,8.40840034468185,17.1751534043143,6.06969203709031,8.99206536389151,0,0,0,0,0,0,0,0,0,0,13.8641939170837,8.11746902039667,6.33739835891109,5.91323640050636
